PrimaryKey,SandyESG
20153551201619B1,yes
20153551201619B2,yes
20143513201307B1,yes
20143513201307B2,yes
20143513201407B1,yes
20143535200716B1,yes
20143535200716B2,yes
20123551041001O1,yes
20123551041001O2,yes
20113551041101R2,yes
20113513020201R1,yes
20113513020201R2,yes
20113513050301R1,yes
20113513050301R2,yes
20113513050201O1,yes
20113513050201O2,yes
20113513030101O1,yes
20113513030101O2,yes
20113513070701O1,yes
20113513040801R2,yes
20113513080101R2,yes
20113529010901O3,yes
20123513040601O1,yes
20123513040601O2,yes
20123551091201R3,yes
20123535070401O1,yes
20123535070401O2,yes
20123551051101O1,yes
20123551051101O2,yes
20173513201314B1,yes
20173513201314B2,yes
20173513201502B1,yes
20173513201502B2,yes
20173513201519B1,yes
20173513201519B2,yes
20173551201606B1,yes
20173551201606B2,yes
20183513201401B3,yes
20183513201418B1,yes
20183513201418B3,yes
20193513201507B1,yes
20193513201507B2,yes
20193551201516B1,yes
20193551201516B2,yes
20193551201607B2,yes
20193513201405B1,yes
20193513201405B2,yes
20193513201306B1,yes
20193513201306B2,yes
20193535200719B1,yes
NM_LasCrucesDO_2016_LUP_Gravel-046_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-472_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-464_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-484_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-547_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-555_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Mal-383_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Gravel-041_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-521_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Gravel-042_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-466_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-478_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-469_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Bottom-003_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-548_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-473_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-470_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Mal-387_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Loam-335_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-546_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-480_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Mal-386_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Hills-197_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Bottom-005_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-462_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-474_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-553_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-482_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Gravel-044_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-476_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-554_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-550_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Gravel-052_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Gloam-102_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Loam-331_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-477_V22021-09-01,yes
NM_LasCruces_NMSU_OrganMtn_2021_MINELEV1200-02_V12021-09-01,yes
NM_LasCrucesDO_2016_LUP_Gravel-050_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Gravel-051_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-461_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-483_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-576_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Bottom-004_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Gravel-076_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-463_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Bottom-016_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Gravel-054_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Bottom-002_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-475_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Mal-378_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-481_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Mal-385_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-549_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Mal-376_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-479_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-556_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Gravel-043_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Mal-382_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Gravel-049_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Mal-384_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Mal-380_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-465_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-557_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Shallow-552_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Bottom-006_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Mal-379_V22021-09-01,yes
NM_LasCrucesDO_2016_LUP_Sandy-468_V22021-09-01,yes
NM_LasCruces_NMSU_OrganMtn_2021_MINELEV1200-01_V12021-09-01,yes
20203551201616B2,yes
20203551201604B1,yes
20203551201604B2,yes
20203551201616B1,yes
20203529201403B1,yes
20213513201518B1,yes
20213513201518B2,yes
20213513201414B1,yes
20213513201414B2,yes
06080810143750172005-07-13,yes
06081113144416852006-05-22,yes
06081113203669802006-05-22,yes
0608111515207342006-06-20,yes
060811132617982006-05-22,yes
06081113314180412006-05-22,yes
06081113422953892006-05-23,yes
06081113464776502006-05-23,yes
06081113574354472006-05-23,yes
06081114103090542006-05-25,yes
06081114160932362006-05-23,yes
06081114232425572006-05-24,yes
06081114334247402006-05-24,yes
06081114453326872006-05-24,yes
06081114524561022006-05-24,yes
06081115014995712006-05-25,yes
06081115014995712006-02-25,yes
06081115093575362006-05-25,yes
06081115093575362007-02-07,yes
0608111515207342007-02-08,yes
06081115231717862006-06-07,yes
06081115231717862007-02-08,yes
06081116332713192006-06-20,yes
06081116381153962006-06-20,yes
06081116405969902006-06-23,yes
06081116515485532006-06-23,yes
06081116515485532007-02-13,yes
06081116555425622006-06-23,yes
06081116555425622007-02-13,yes
06081411171893522006-06-30,yes
0608141124325382006-06-30,yes
06081412161339112006-06-30,yes
06081412215634542006-07-03,yes
06081412342474282006-07-03,yes
06081412435832362006-07-10,yes
06081412460221052006-07-10,yes
06081413280297182006-07-11,yes
06081413374290242006-07-11,yes
06081413432782652006-07-11,yes
06081413472329032006-07-20,yes
06081413472329032007-02-22,yes
06081413515367902006-07-20,yes
06081413555726742006-07-10,yes
06081414051613612006-07-10,yes
06081414095726662006-07-19,yes
06081414150178552006-07-19,yes
06081414202595882006-07-20,yes
06081414333399032006-07-19,yes
06081414393588082006-07-19,yes
06081414393588082007-02-26,yes
06081414475697512006-07-26,yes
06081414475697512007-02-26,yes
06081414523221302006-07-26,yes
06081414523221302007-02-26,yes
07040515471583972007-03-13,yes
12030115151372922012-02-08,yes
12030116155859892012-02-14,yes
1382004-06-22,yes
1392004-06-22,yes
1402004-06-22,yes
1412004-06-22,yes
1422004-06-22,yes
1432004-06-22,yes
1442004-06-23,yes
1452004-06-23,yes
1462004-06-23,yes
1812004-07-09,yes
1462006-12-06,yes
1472004-06-23,yes
1482004-06-23,yes
1492004-06-24,yes
1502004-06-24,yes
1512004-06-24,yes
1522004-06-24,yes
1752004-07-08,yes
1762004-07-08,yes
1762006-12-07,yes
1772004-07-08,yes
1782004-07-08,yes
1792004-07-08,yes
1802004-07-09,yes
1822004-07-09,yes
1832004-07-09,yes
1842004-07-14,yes
1852004-07-14,yes
1862004-07-14,yes
3182004-07-12,yes
3192004-07-12,yes
3212004-07-12,yes
3232004-07-12,yes
3242004-07-12,yes
3262004-07-12,yes
3282004-07-12,yes
3302004-07-12,yes
15050113465465692019-09-20,yes
15050113465465692019-10-18,yes
15050113465465692019-11-15,yes
15050113465465692019-12-12,yes
15050113465465692020-01-23,yes
15050113465465692020-02-18,yes
15050113465465692020-03-17,yes
15050113465465692020-04-14,yes
15050113465465692020-05-12,yes
15050113465465692020-06-09,yes
15050113465465692015-06-24,yes
15050113465465692015-07-31,yes
15050113465465692015-08-26,yes
15050113465465692015-09-22,yes
15050113465465692015-10-22,yes
15050113465465692015-11-24,yes
15050113465465692015-12-22,yes
15050113465465692016-01-27,yes
15050113465465692016-02-23,yes
15050113465465692016-03-21,yes
15050113465465692016-04-20,yes
15050113465465692016-05-17,yes
15050113465465692016-06-14,yes
15050113465465692016-07-13,yes
15050113465465692016-08-09,yes
15050113465465692016-09-08,yes
15050113465465692016-10-06,yes
15050113465465692016-11-02,yes
15050113465465692016-12-01,yes
15050113465465692017-01-12,yes
15050113465465692017-02-08,yes
15050113465465692017-03-08,yes
15050113465465692017-04-05,yes
15050113465465692017-05-02,yes
15050113465465692017-05-30,yes
15050113465465692017-06-27,yes
15050113465465692017-07-26,yes
15050113465465692017-08-23,yes
15050113465465692017-09-20,yes
15050113465465692017-10-18,yes
15050113465465692017-11-15,yes
15050113465465692017-12-20,yes
15050113465465692018-01-16,yes
15050113465465692018-02-13,yes
15050113465465692018-03-14,yes
15050113465465692018-04-10,yes
15050113465465692018-05-09,yes
15050113465465692018-06-06,yes
15050113465465692018-07-05,yes
15050113465465692018-08-01,yes
15050113465465692018-08-29,yes
15050113465465692018-09-27,yes
15050113465465692018-10-26,yes
15050113465465692018-11-20,yes
15050113465465692018-12-20,yes
15050113465465692019-02-04,yes
15050113465465692019-03-05,yes
15050113465465692019-04-04,yes
15050113465465692019-05-02,yes
15050113465465692019-05-29,yes
15050113465465692019-06-26,yes
15050113465465692019-07-24,yes
15050113465465692019-08-20,yes
15050113465465692020-07-07,yes
15050113465465692020-08-04,yes
