"chckbox","CheckboxLabel","code","DateLoadedInDb","DBKey","Direction","FormDate","FormType","layer","LineKey","LineLengthAmount","Measure","PointLoc","PointNbr","PrimaryKey","ProjectKey","RecKey","ShowCheckbox","ShrubShape","source","SpacingIntervalAmount","SpacingType","DateVisited"
0,"Dead","S",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"SoilSurface","1904230855027581",25,1,0.5,1,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,NA,"TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","S",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"SoilSurface","1904230855027581",25,1,1,2,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,"S","TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","S",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"SoilSurface","1904230855027581",25,1,1.5,3,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,"S","TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","ARTRW8",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"SoilSurface","1904230855027581",25,1,2,4,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,"S","TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","S",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"SoilSurface","1904230855027581",25,1,2.5,5,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,"S","TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","S",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"SoilSurface","1904230855027581",25,1,3,6,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,"S","TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","S",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"SoilSurface","1904230855027581",25,1,3.5,7,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,NA,"TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","S",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"SoilSurface","1904230855027581",25,1,4,8,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,NA,"TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","S",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"SoilSurface","1904230855027581",25,1,4.5,9,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,NA,"TerrADat",50,"cm","2019-04-22 18:00:00"
0,"Dead","S",NA,"UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","0","2019-04-22 18:00:00",NA,"SoilSurface","1904230855027581",25,1,5,10,"19042308550131962019-09-01","BLM_AIM","1904231010273278",1,NA,"TerrADat",50,"cm","2019-04-22 18:00:00"
