"LineKey","RecKey","DateModified","FormType","FormDate","SpecRichMethod","SpecRichMeasure","SpecRichNbrSubPlots","SpecRich1Container","SpecRich1Shape","SpecRich1Dim1","SpecRich1Dim2","SpecRich1Area","SpecRich2Container","SpecRich2Shape","SpecRich2Dim1","SpecRich2Dim2","SpecRich2Area","SpecRich3Container","SpecRich3Shape","SpecRich3Dim1","SpecRich3Dim2","SpecRich3Area","SpecRich4Container","SpecRich4Shape","SpecRich4Dim1","SpecRich4Dim2","SpecRich4Area","SpecRich5Container","SpecRich5Shape","SpecRich5Dim1","SpecRich5Dim2","SpecRich5Area","SpecRich6Container","SpecRich6Shape","SpecRich6Dim1","SpecRich6Dim2","SpecRich6Area","Notes","DateLoadedInDb","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1907131309402013","1907131434451438",2019-07-15 10:51:44,"SpecRich",2019-07-12 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19071313093952172019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907140744401033","1907140919194916",2019-09-25 15:59:54,"SpecRich",2019-07-13 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19071407443997632019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907150731338462","190715091544247",2019-07-15 10:51:15,"SpecRich",2019-07-14 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19071507313265642019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907251035265348","1907251157471334",2019-09-25 15:55:23,"SpecRich",2019-07-24 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072510352554362019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907261248165437","1907261424156618",2019-08-11 03:23:19,"SpecRich",2019-07-25 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072612481561662019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"190727082543500","1907270958189052",2019-09-25 15:44:20,"SpecRich",2019-07-26 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072708254210942019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907271347557225","1907271522316223",2019-09-25 16:06:57,"SpecRich",2019-07-26 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072713475468532019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"190728084445697","1907281042343818",2019-09-25 15:30:21,"SpecRich",2019-07-27 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072808444474872019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907281533072121","1907281701571557",2019-08-11 03:38:45,"SpecRich",2019-07-27 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072815330678182019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907291103526364","1907291256099375",2019-09-25 16:00:30,"SpecRich",2019-07-28 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19072911035151822019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907300824453110","1907300957399758",2019-10-08 12:34:35,"SpecRich",2019-07-29 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19073008244487192019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1907301200327021","1907301338297834",2019-08-11 02:35:55,"SpecRich",2019-07-29 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19073012003183612019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"1908071327113053","1908071458245973",2019-08-11 03:27:16,"SpecRich",2019-08-06 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
"190808082444919","1908080954247452",2019-08-08 03:54:45,"SpecRich",2019-08-07 18:00:00,4,1,1,1,2,30,30,2827.39990234,0,1,0.5,2,1,0,1,0.5,2,1,0,1,0.5,2,1,0,1,2,5,10,1,1,10,30,300,NA,"2019-09-01","19080808244384022019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:51,"DBROWNING",2020-05-06 11:49:51
