"RecKey","subPlotID","subPlotDesc","SpeciesList","DateLoadedInDb","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1908071458245973",1,NA,"CORA","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"EPTO","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"JUOS","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"BRTE","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"HECO26","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"VUOC","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"ACHY","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"IPGU","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"HIJA","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
"1908071458245973",1,NA,"CRFL5","2019-09-01","1908071327103232019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:49:40,"DBROWNING",2020-05-06 11:49:40
