"RecKey","SeqNo","RecType","GapStart","GapEnd","Gap","DateLoadedInDb","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"190424104021676",55,"C",1083,958,125,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",56,"C",955,502,453,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",57,"C",497,456,41,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",58,"C",453,382,71,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",59,"C",330,223,107,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"190424104021676",60,"C",130,0,130,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",61,"C",2500,2451,49,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",62,"C",2392,2270,122,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",63,"C",2268,2231,37,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",64,"C",2168,2044,124,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",65,"C",1933,1848,85,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",66,"C",1846,1808,38,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",67,"C",632,597,35,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",68,"C",473,410,63,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",69,"C",252,221,31,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",70,"C",213,192,21,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",71,"C",159,126,33,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1904241137057537",72,"C",124,0,124,"2019-09-01","19042408531926082019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",73,"C",2094,2074,20,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",74,"C",1623,1583,40,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",75,"C",1580,1552,28,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",76,"C",1550,1526,24,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",77,"C",1505,1467,38,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",78,"C",1443,1412,31,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",79,"C",1369,1345,24,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",80,"C",1281,1247,34,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",81,"C",898,864,34,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",82,"C",861,831,30,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
"1905020918004256",83,"C",829,595,234,"2019-09-01","19050208361880412019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:46:41,"DBROWNING",2020-05-06 11:46:41
