"LineKey","RecKey","DateModified","FormType","FormDate","Direction","Measure","LineLengthAmount","SpacingIntervalAmount","SpacingType","HeightOption","HeightUOM","ShowCheckbox","CheckboxLabel","Notes","ShowShrubShape","DateLoadedInDb","LowerHerbHeights","HAF_Other","PrimaryKey","DBKey","created_user","created_date","last_edited_user","last_edited_date"
"1907111406505379","1907111506191455",2019-07-15 10:48:41,"LPI",2019-07-10 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"1907111406492262019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907111406507795","1907111525061313",2019-07-11 09:43:27,"LPI",2019-07-10 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","AF00 =  ",1,"2019-09-01",NA,NA,"1907111406492262019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907120726583129","1907120746099599",2019-07-12 01:58:26,"LPI",2019-07-11 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19071207265771652019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"190712072658927","1907120803083116",2019-08-10 10:58:51,"LPI",2019-07-11 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19071207265771652019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907120726584879","1907120823306880",2019-07-12 02:33:54,"LPI",2019-07-11 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","AF00 =  ",1,"2019-09-01",NA,NA,"19071207265771652019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907121234035338","1907121236057715",2019-07-17 02:27:37,"LPI",2019-07-11 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","SH01 =  AF00 =  ",1,"2019-09-01",NA,NA,"19071212340255922019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907121234033482","1907121258409134",2019-08-10 11:00:33,"LPI",2019-07-11 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","SH01 =  ",1,"2019-09-01",NA,NA,"19071212340255922019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"190713071824579","1907130811079923",2019-10-07 11:02:38,"LPI",2019-07-12 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","AF00 =  ",1,"2019-09-01",NA,NA,"19071307182343162019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907130718244531","1907130827215117",2019-10-07 11:04:45,"LPI",2019-07-12 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19071307182343162019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907131309402013","1907131334386161",2019-07-13 07:51:19,"LPI",2019-07-12 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19071313093952172019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"190713130940434","19071313581198",2019-07-13 08:11:45,"LPI",2019-07-12 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","AF00 =  ",1,"2019-09-01",NA,NA,"19071313093952172019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907131309404386","1907131417129317",2019-07-13 08:29:41,"LPI",2019-07-12 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19071313093952172019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907140744401033","1907140817215033",2019-07-14 02:31:22,"LPI",2019-07-13 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","PF1724 =  ",1,"2019-09-01",NA,NA,"19071407443997632019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907140744408830","1907140837456782",2019-08-10 10:52:36,"LPI",2019-07-13 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","PF1724 =  ",1,"2019-09-01",NA,NA,"19071407443997632019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907140744402783","1907140857339708",2019-07-14 03:13:33,"LPI",2019-07-13 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","AF00 =  PF1724 =  ",1,"2019-09-01",NA,NA,"19071407443997632019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907150731338462","190715081001168",2019-07-15 02:29:11,"LPI",2019-07-14 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","PF1726 =  ",1,"2019-09-01",NA,NA,"19071507313265642019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907150731336259","190715083243388",2019-07-15 02:47:12,"LPI",2019-07-14 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19071507313265642019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"190715073133212","1907150851296468",2019-07-15 03:03:31,"LPI",2019-07-14 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","PF1727 =  PF1726 =  ",1,"2019-09-01",NA,NA,"19071507313265642019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907121234033419","1907170827442391",2019-07-17 02:34:49,"LPI",2019-07-11 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19071212340255922019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907130718242782","1907170838031357",2019-10-07 11:02:29,"LPI",2019-07-12 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19071307182343162019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907251035265348","1907251109059500",2019-07-25 05:24:52,"LPI",2019-07-24 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19072510352554362019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907251035263145","1907251125136571",2019-07-25 05:38:26,"LPI",2019-07-24 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19072510352554362019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907251035267097","1907251138327319",2019-07-25 05:54:31,"LPI",2019-07-24 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19072510352554362019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907261248168094","1907261335407259",2019-08-11 02:46:22,"LPI",2019-07-25 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","",1,"2019-09-01",NA,NA,"19072612481561662019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907261248165437","1907261351248440",2019-08-11 02:46:19,"LPI",2019-07-25 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","AF00 =  PF1733 =  ",1,"2019-09-01",NA,NA,"19072612481561662019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907261248163074","1907261404054764",2019-08-11 02:46:27,"LPI",2019-07-25 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","PF1733 =  PG1615 =  ",1,"2019-09-01",NA,NA,"19072612481561662019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"190727082543500","190727085738206",2019-07-27 03:27:10,"LPI",2019-07-26 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","PF1733 =  AF00 =  ",1,"2019-09-01",NA,NA,"19072708254210942019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907270825438297","1907270927151805",2019-08-10 10:16:09,"LPI",2019-07-26 18:00:00,"120",1,25,50,"cm","every 5th","cm",1,"Dead","PF1733 =  ",1,"2019-09-01",NA,NA,"19072708254210942019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907270825432250","1907270943117431",2019-07-27 03:55:54,"LPI",2019-07-26 18:00:00,"240",1,25,50,"cm","every 5th","cm",1,"Dead","PF1733 =  AF00 =  ",1,"2019-09-01",NA,NA,"19072708254210942019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
"1907271347557225","1907271408241932",2019-07-27 08:22:11,"LPI",2019-07-26 18:00:00,"0",1,25,50,"cm","every 5th","cm",1,"Dead","AF1626 =  SH1614 =  ",1,"2019-09-01",NA,NA,"19072713475468532019-09-01","UT_GrandStaircaseEscalanteNM_LUP_2019_5-4_03.mdb","DBROWNING",2020-05-06 11:48:24,"DBROWNING",2020-05-06 11:48:24
